geo,time,Channel0_impression,Channel1_impression,Channel2_impression,Channel3_impression,competitor_sales_control,sentiment_score_control,Channel0_spend,Channel1_spend,Channel2_spend,Channel3_spend,Organic_channel0_impression,Promo,conversions,revenue_per_conversion,population,total_revenue
Geo0,2021-01-25,280668,0,0,470611,-1.3387649,0.11558147,2058.0608,0.0,0.0,3667.3965,97320,0.0,1954576.8,0.020054754,136670.94,39198.55689810721
Geo0,2021-02-01,366206,182108,19825,527702,0.8936449,0.9442244,2685.2874,1755.7454,147.31808,4112.2974,201441,0.0,2064249.6,0.02010317,136670.94,41497.960631232
Geo0,2021-02-08,197565,230170,0,393618,-0.28454947,-1.290579,1448.6895,2219.1223,0.0,3067.4023,0,0.68381935,2086382.8,0.019928792,136670.94,41579.0888535776
Geo0,2021-02-15,140990,66643,0,326034,-1.0347397,-1.0845139,1033.8406,642.52057,0.0,2540.731,0,1.2890546,2826431.5,0.019987345,136670.94,56492.8615093675
Geo0,2021-02-22,399116,164991,0,381982,-0.3192759,-0.017502785,2926.6072,1590.7164,0.0,2976.7249,0,0.22773853,3551929.2,0.02000035,136670.94,71039.82717522001
Geo0,2021-03-01,219462,149254,0,417941,-0.65269506,-0.30211386,1609.2542,1438.9924,0.0,3256.9475,0,0.0,2241229.2,0.02014213,136670.94,45143.12990619601
Geo0,2021-03-08,39715,52062,273250,662155,1.4276155,-0.23733935,291.2191,501.94177,2030.5001,5160.0684,0,0.0,2553928.2,0.020031057,136670.94,51157.88134810741
Geo0,2021-03-15,114458,230897,122797,423700,0.45791247,0.8655758,839.2888,2226.1316,912.49524,3301.8264,88088,0.0,2218996.5,0.020035092,136670.94,44457.799025178
Geo0,2021-03-22,235989,256233,0,413992,0.89351004,-0.80686784,1730.442,2470.4019,0.0,3226.1736,334506,1.4659629,2322239.5,0.020043833,136670.94,46546.5807240035
Geo0,2021-03-29,428627,0,280553,501091,0.520105,-0.24917367,3143.003,0.0,2084.768,3904.9224,0,0.9731307,2363707.5,0.019865984,136670.94,46957.37537568
Geo0,2021-04-05,221340,143848,0,397356,-0.8563197,0.050081678,1623.025,1386.8718,0.0,3096.532,46898,0.0,2229578.5,0.019946404,136670.94,44472.073510714
Geo0,2021-04-12,391678,50750,0,722273,-1.4528581,1.5585525,2872.0662,489.2925,0.0,5628.5586,228913,1.6279713,3524765.0,0.019867629,136670.94,70028.723332185
Geo0,2021-04-19,244001,0,0,329811,-1.9642203,-0.59979314,1789.1918,0.0,0.0,2570.1646,140779,0.6690695,3347289.8,0.019929865,136670.94,66711.03382987701
Geo0,2021-04-26,205575,38204,0,397778,-0.6964144,-1.240535,1507.4246,368.33362,0.0,3099.8206,0,0.5568802,2779414.2,0.019973803,136670.94,55515.471686202596
Geo0,2021-05-03,90953,0,0,78105,-1.5696856,-2.3092334,666.93317,0.0,0.0,608.6598,0,1.2657831,2335399.5,0.020143956,136670.94,47044.184770422005
Geo0,2021-05-10,155015,289612,0,475510,1.1948755,-1.364184,1136.6821,2792.2163,0.0,3705.5735,0,0.0,2429740.0,0.02005313,136670.94,48723.892086199994
Geo0,2021-05-17,139836,184700,0,277029,-0.12523502,-0.71586806,1025.3787,1780.7355,0.0,2158.8428,10126,0.0,4339777.0,0.020103911,136670.94,87246.490567847
Geo0,2021-05-24,388037,147001,0,92359,-0.4660951,-0.9799271,2845.368,1417.2706,0.0,719.73895,0,0.0,3068357.0,0.019971617,136670.94,61280.050823269004
